species
Rhododendron griffithianum
Rhododendron arboreum
Lessertia frutescens 
Panicum virgatum
Dendrobium huoshanense
Stenotaphrum secundatum
Cephalostachyum pingbianense
Hevea brasiliensis
Melia azedarach
Rosmarinus officinalis
Ficus tikoua
Agave desmettiana Jacobi
Fragaria nilgerrensis
Melica transsilvanica
Piper nigrum L
Dioscorea nipponica Makino
Philodendron erubescens
Pelargonium graveolen
Miscanthus x giganteus
Eleusine coracana L. Gaertn
Zingiber officinale Rosc.
Populus alba L.
Fargesia nitida
Carex cepillacea
Populus tomentosa
Miscanthus giganteus
Thymus altaicus
Salvia deserta
Camellia oleifera
Oryza coarctata
Phyllostachys edulis
Oryza officinalis
Taxus yunnanensis
Leymus secalinus
Pinus sylvestris L.
Capsicum annuum L
Jasminum officinale
Suaeda nudiflora
Cyndon dactylon
Populus euphratica Olivier
Aristida junciformis
Eragrostis curvula
Cattleya walkeriana
Photinia x fraseri Dress.
Sphagnum palustre
Tectona grandis L.f.
Cremastra appendiculata
Salix rehderiana Schneid
"Salix ernestii Schneid,"
Populus purdomii Rehd.
Ipomoea  trifida 
Ipomoea batatas (L.) Lam.
Ipomoea triloba
Paspalum atratum
Pennisetum glaucum
Ajuga turkestanica
Humulus lupulus
Cannabis sativa
Panax ginseng
Mentha longifolia
Manibot esculenta Crantz
Stellera chamaejasme
Artemisia annua
Pairs polyphylla var. yunnanensis
Theobroma cacao L.
Pterospora andromedea (Ericaceae)
Camellia oleifera Abel.
Artemisia annua L
Quercus robur
Brassica napus L.
Pinus contorta Dougl. var. latifolia Engelm.
Paspalum vaginatum Swartz
Sorghum bicolor
Passiflora incarnata
Brachiaria humidicola
Brachiaria decumbens
Handroanthus impetiginosus
