USDA accession,host plant name,common name,source,geographic source,taxonomy,note
USDA99b,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA99,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA98a,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA98,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA97,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA96,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA94,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,serotype strain of the seroggroup
USDA93,Glycine max,soybean,USDA original,"North Carolina, 1956",Bradyrhizobium elkanii,
USDA92,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium japonicum,
USDA91,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium japonicum,
USDA9046,Phaseolus vulgaris,Common bean,,,,
USDA9045,Phaseolus vulgaris,Common bean,,,,
USDA9044,Phaseolus vulgaris,Common bean,,,,
USDA9043,Phaseolus vulgaris,Common bean,,,,
USDA9042,Phaseolus vulgaris,Common bean,,,,
USDA9041,Phaseolus vulgaris,Common bean,,,,Reported effective on common bean
USDA9040,Phaseolus vulgaris,Common bean,,,,
USDA9039,Phaseolus vulgaris,Common bean,,,,
USDA9038,Phaseolus vulgaris,Common bean,,,,
USDA9037,Phaseolus vulgaris,Common bean,,,,
USDA9036,Phaseolus vulgaris,Common bean,,,,
USDA9035,Phaseolus vulgaris,Common bean,,,,
USDA9034,Phaseolus vulgaris,Common bean,,,,
USDA9033,Phaseolus vulgaris,Common bean,,,,
USDA9032,Phaseolus vulgaris,Common bean,,,Rhizobium etli,Type strain for Rhizobium etli
USDA9031,Phaseolus vulgaris,Common bean,,,,pSym cured mutant of CIAT 899
USDA9030,Phaseolus vulgaris,Common bean,,,,Type strain for Rhizobium tropici
USDA9029,Phaseolus vulgaris,Common bean,,,,
USDA9028,Phaseolus vulgaris,Common bean,,,,
USDA9027,Phaseolus vulgaris,Common bean,,,,
USDA9026,Phaseolus vulgaris,Common bean,,,,
USDA9025,Phaseolus vulgaris,Common bean,,,,
USDA9024,Phaseolus vulgaris,Common bean,,,,
USDA9023,Phaseolus vulgaris,Common bean,,,,
USDA9022,Phaseolus vulgaris,Common bean,,,,
USDA9021,Phaseolus vulgaris,Common bean,,,,
USDA9020,Phaseolus vulgaris,Common bean,,,,
USDA9019,Phaseolus vulgaris,Common bean,,,,
USDA9018,Phaseolus vulgaris,Common bean,,,,
USDA9017,Phaseolus vulgaris,Common bean,,,,
USDA9016,Phaseolus vulgaris,Common bean,,,,
USDA9015,Phaseolus vulgaris,Common bean,,,,
USDA9014,Phaseolus vulgaris,Common bean,,,,
USDA9013,Phaseolus vulgaris,Common bean,,,,
USDA9012,Phaseolus vulgaris,Common bean,,,,
USDA9011,Phaseolus vulgaris,Common bean,,,,
USDA9010,Phaseolus vulgaris,Common bean,,,,
USDA9009,Phaseolus vulgaris,Common bean,,,,
USDA9008,Phaseolus vulgaris,Common bean,,,,
USDA9007,Phaseolus vulgaris,Common bean,,,,
USDA9006,Phaseolus vulgaris,Common bean,,,,
USDA9005,Phaseolus vulgaris,Common bean,,,,
USDA9004,Phaseolus vulgaris,Common bean,,,,
USDA9003,Phaseolus vulgaris,Common bean,,,,
USDA9002,Phaseolus vulgaris,Common bean,,,,
USDA9001,Phaseolus vulgaris,Common bean,,,,
USDA90,Glycine max,soybean,"L. S. Tunica, 1956",Mississippi,Bradyrhizobium elkanii,
USDA9,Glycine max,soybean,USDA original,"Virginia, 1916",Bradyrhizobium japonicum,
USDA86,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium,
USDA85,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA84a,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
USDA84,Glycine max,soybean,USDA original,"Maryland, 1956",Bradyrhizobium elkanii,
