.
Glycine max
Phaseolus vulgaris
Trifolium spp.
Trifolium vesiculosum
Trifolium tembens
Trifolium repens
Trifolium subterraneum
Trifolium subterranean
Trifolium semipilosum
Trifolium fragiferum
Trifolium tridentatum
Trifolium eliolatum
Trifolium parryi
Trifolium nannes
Trifolium dasyphylla
Trifolium alexandrium
Trifolium ambiguum
Trifolium ambigum
Trifolium pauciflorum
Trifolium amabile
Trifolium medium
Trifolium isodon
Medicago sativa
Medicago truncatula
Leucaena leucocephala
Melilotus alba
Trigonella foenum-graecum
Trigonella monspelliaca
G lycine max
Arachis hypogaea
Hedysarum carnosum
Hedysarum coronarium
Hedysarum boreale
Hedysarum flexosum
Hedysarum mongolicum
Sesbania laeta
Sesbania cannabina
Sesbania rostrata
Ononis arvensis
"Securigera varia, Coronilla varia"
Glycyrrhiza pallidiflora
Oxytropis campaneclata
Lotus corniculatus
Hedysarum alpinum
Astragalus uliginosus
Astragalus falcatus
Astragalus cicer
Acacia senegal
Prosopis chilensis
NA
Galega orientalis
Galega officinalis
Apios americana
Cicer arietinum
Lablab purpureus
Astragalus sinicus
Vigna unguiculata
Aeschynomene indica
Arachis pintoi
Acacia angustissima
Acacia mangium
Aeschynomene afraspera
Aeschynomene americana
Aeschynomene elephroxylon
Maackia amurensis
Robinia pseudoacacia
Vigna angularis
Aeschynomene selloi
Sophora chrysophylla
Lupinus
Cajanus cajun
Sesbania grandiflora
Vigna unguiculata var. unguiculata
Ulex europaeus
Teramus repens
Tephrosia sp.
Stylosanthes fruticosa
Stylosanthes hamata
Stylosanthes guyanensis
Strophostyles
Sesbania sesban
Ornithopus sativa
Serradella
Robinia purpurea
Pueraria javanica
Pueraria oblata
Pueraria phaseoloides
Pueraria thumbergiana
Pterocarpus officinalis
Macroptilium heterophyllum
Phaseolus grayanus
Phaseolus ritensis
Phaseolus acutifolius
Vigna mungo
Oxytropis acammonium
Oxytropis glabra
Oxytropis campestris var. varians
Oxytropis deflexa
Oxytropis foliolosa
Oxytropis arctica var. koyukukensis
Oxytropis deflexa var. foliolosa
Neptunia oleracea
Mimosa sp.
Mimosa pudica
Mimosa invisa
Mimosa schrankia
Mimosa spp.
Lupinus spp.
Lupinus perennis
Lotus subpinnatus
Indigo gracilis
Lotononis bainseii
Lespedeza spp.
Hippocrepis multisiliquosa
Hedysarum boreale spp. mackenziei
Hedysarum alpinum var. americanum
Desmodium adscendens
Desmodium barbatum
Centrosema pubescens
Caragara arborescens
Astragalus aduncus
Astragalus siliquosus
Astragalus americanus
